title,runtimeMinutes,is_successful,averageRating,technique,era,country
Hero Factory,88.0,0,5.7,CGI,Streaming Era (2010+),Denmark
Hey Arnold!,15.0,1,7.6,Traditional,Golden Age (85-96),United States
Hi Hi Puffy AmiYumi,22.0,0,6.1,Flash,Modern (97-09),United States
Henry's World,22.0,0,7.2,Stop Motion,Modern (97-09),Canada
Highlander: The Animated Series,30.0,0,6.3,Traditional,Golden Age (85-96),Coproduction
Hilda,24.0,1,8.6,Traditional,Streaming Era (2010+),Coproduction
Hilltop Hospital,10.0,0,7.3,Stop Motion,Modern (97-09),United Kingdom
Histeria!,30.0,1,7.7,Traditional,Modern (97-09),United States
Hit-Monkey,22.0,1,7.7,Traditional,Streaming Era (2010+),United States
Home Movies,30.0,1,8.2,Traditional,Modern (97-09),United States
High School USA!,10.0,0,6.3,Flash,Streaming Era (2010+),United States
Henry Hugglemonster,22.0,0,5.3,CGI,Streaming Era (2010+),Coproduction
Helluva Boss,20.0,1,8.0,Flash,Streaming Era (2010+),United States
Harley Quinn,23.0,1,8.4,Flash,Streaming Era (2010+),United States
Harriet the Spy,23.0,0,6.8,Flash,Streaming Era (2010+),United States
Harry and His Bucket Full of Dinosaurs,11.0,1,6.1,Traditional,Modern (97-09),Coproduction
Harvey Beaks,22.0,0,7.1,Traditional,Streaming Era (2010+),United States
Harvey Girls Forever!,23.0,0,6.7,Flash,Streaming Era (2010+),France
Hazbin Hotel,32.0,1,7.6,Flash,Streaming Era (2010+),United States
He-Man and the Masters of the Universe,30.0,1,7.5,Traditional,Modern (97-09),United States
He-Man and the Masters of the Universe,26.0,0,5.9,CGI,Streaming Era (2010+),United States
Headspace Guide to Sleep,20.0,0,6.8,Traditional,Streaming Era (2010+),United States
Hell Den,11.0,0,5.5,Flash,Streaming Era (2010+),United States
Hello Kitty's Furry Tale Theater,23.0,0,6.8,Traditional,Golden Age (85-96),Coproduction
Hoops,25.0,0,6.0,Flash,Streaming Era (2010+),United States
Hopeless Pictures,17.0,0,7.0,Flash,Modern (97-09),United States
Horrible Histories,24.0,0,7.1,Traditional,Modern (97-09),United Kingdom
Inside Job,30.0,1,7.7,Traditional,Streaming Era (2010+),United States
Inspector Gadget,22.0,0,4.7,CGI,Streaming Era (2010+),Canada
Invader Zim,24.0,1,8.4,Traditional,Modern (97-09),United States
Invasion America,30.0,0,7.5,Traditional,Modern (97-09),United States
Invincible,50.0,1,8.7,Traditional,Streaming Era (2010+),United States
Iron Man,30.0,0,6.5,Traditional,Golden Age (85-96),United States
It's Pony,11.0,0,6.6,Traditional,Streaming Era (2010+),United Kingdom
