title,premiere_year,final_year,seasons,episodes,country,technique,era,run_years,averageRating,numVotes,runtimeMinutes,genres,tconst
Screechers Wild!,2016,2017,2,62,China,Flash,Streaming Era (2010+),1,8.2,39.0,,"Action,Animation",tt8697082
The Way Things Work,2002,2002,,,United Kingdom,Traditional,Modern (97-09),0,8.2,65.0,13.0,"Adventure,Animation,Family",tt1380722
Cartoon Planet,1995,1998,3,146,United States,Traditional,Golden Age (85-96),3,8.5,509.0,,"Animation,Comedy,Musical",tt0111911
Wayside,2005,2008,,26,Canada,Traditional (season 1) Flash (season 2),Modern (97-09),3,6.1,753.0,30.0,"Animation,Comedy,Family",tt1059741
Pok & Mok,2009,2014,,78,France,Flash,Modern (97-09),5,6.6,18.0,,Animation,tt5037372
Pocket Dragon Adventures,1996,1997,1,52,"US, Canada, Australia",Traditional,Golden Age (85-96),1,6.8,91.0,30.0,Animation,tt0158854
Towser,1984,1984,,26,United Kingdom,,Bronze Age (70s-84),0,7.1,13.0,5,"Animation,Comedy,Family",tt28400183
Fangbone!,2016,2017,,26,Canada,Flash,Streaming Era (2010+),1,6.4,443.0,23.0,"Action,Adventure,Animation",tt4358188
The Secret World of Santa Claus,1999,1999,1,26,Canada,Traditional,Modern (97-09),0,7.5,731.0,23.0,"Animation,Family,Fantasy",tt0302145
Auto-B-Good,2005,2006,2,63,United States,CGI,Modern (97-09),1,8.2,73.0,30.0,"Animation,Family",tt0475901
Zentrix,2003,2003,,,"Hong Kong, Japan",CGI/Traditional,Modern (97-09),0,8.2,106.0,22.0,"Action,Adventure,Animation",tt0876249
Hopla,1999,1999,1,13,Belgium,CGI,Modern (97-09),0,5.7,42.0,,"Animation,Family",tt0287855
Maggie and the Ferocious Beast,2000,2002,3,39,Canada,Traditional,Modern (97-09),2,6.6,1914.0,22.0,"Adventure,Animation,Family",tt0262168
A Kind of Magic,2006,2009,,26,France,Flash,Modern (97-09),3,6.3,122.0,,"Adventure,Animation,Comedy",tt5020176
Masha and the Bear,2009,,,88,Russia,CGI,Modern (97-09),14,7.2,4991.0,7.0,"Adventure,Animation,Comedy",tt1884856
Apple & Onion,2018,2021,2,76,United States,Flash,Streaming Era (2010+),3,6.3,2751.0,11.0,"Adventure,Animation,Comedy",tt8019790
Little Big Awesome,2018,2018,1,13,United States,Flash,Streaming Era (2010+),0,7.1,145.0,12.0,"Adventure,Animation,Comedy",tt5615874
Lego Elves,2017,,,8,"Denmark, United States",Traditional,Streaming Era (2010+),6,6.0,177.0,30.0,"Adventure,Animation,Fantasy",tt5586974
The Forgotten Toys,1995,1996,1,28,United Kingdom,Traditional,Golden Age (85-96),1,7.6,261.0,15.0,"Animation,Family",tt0136640
Mr. Piper,1963,1964,,,Canada,,Classic (pre-1970),1,7.2,72.0,30.0,"Animation,Family",tt0304430
"China, IL",2011,2015,3,30,United States,Flash,Streaming Era (2010+),4,7.1,2720.0,22.0,"Animation,Comedy",tt2058221
Cracked,2016,2016,1,52,Canada,CGI,Streaming Era (2010+),0,6.9,2084.0,60.0,"Crime,Drama,Mystery",tt2078576
The Little Witches,1997,1999,1,26,"France, Spain",Traditional,Modern (97-09),2,8.3,10.0,,Animation,tt3801760
The Tom and Jerry Show,2014,2021,,117,United States,Flash,Streaming Era (2010+),7,7.2,5336.0,22,"Adventure,Animation,Comedy",tt3559124
Crocadoo,1996,1998,1,52,Australia,Traditional,Golden Age (85-96),2,8.1,22.0,24.0,Animation,tt7534266
Bravest Warriors,2012,2018,4,82,United States,Traditional,Streaming Era (2010+),6,8.1,3899.0,5.0,"Action,Adventure,Animation",tt2474952
Uncle Grandpa,2013,2017,5,153,United States,Traditional,Streaming Era (2010+),4,4.7,8673.0,15.0,"Animation,Comedy,Family",tt3042608
Diabolik,2000,2000,1,36,France,Traditional,Modern (97-09),0,7.2,560.0,24.0,"Action,Adventure,Animation",tt0466510
Dora and Friends: Into the City!,2014,2017,,40,United States,Flash,Streaming Era (2010+),3,3.8,471.0,23,"Adventure,Animation,Family",tt4048256
Star vs. the Forces of Evil,2015,2019,4,77,United States,"Flash (season 1), Traditional (seasons 2–4)",Streaming Era (2010+),4,7.9,21999.0,22,"Action,Adventure,Animation",tt2758770
Tabaluga,1997,2004,3,78,"Australia, Germany",Traditional,Modern (97-09),7,6.1,589.0,22.0,"Animation,Comedy,Drama",tt0193549
Scooby's Mystery Funhouse,1985,1986,,13,United States,,Golden Age (85-96),1,7.6,113.0,30.0,"Animation,Comedy,Family",tt0088603
Toad Patrol,1999,2002,2,26,Canada,Traditional,Modern (97-09),3,7.8,147.0,30.0,"Adventure,Animation,Family",tt0428176
Street Fighter,1995,1997,2,26,"Canada, United States",Traditional,Golden Age (85-96),2,,,,"Action,Family,Fantasy",tt13530374
Puppydog Tales,1992,1992,1,13,United Kingdom,Traditional,Golden Age (85-96),0,7.4,18.0,10.0,"Animation,Family",tt1710111
Quarxs,1990,1993,1,12,France,CGI,Golden Age (85-96),3,7.6,23.0,3.0,"Animation,Fantasy,Mystery",tt0106107
